,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
189,5.0,1.0,6.0,1.0,5.0,1.0,6.0,1.0,-7.982538
190,5.0,1.0,6.0,1.0,7.0,1.0,8.0,1.0,3.155283
191,5.0,1.0,6.0,1.0,9.0,1.0,10.0,1.0,-5.868858
192,5.0,1.0,7.0,1.0,5.0,1.0,7.0,1.0,-0.537903
193,5.0,1.0,8.0,1.0,4.0,1.0,7.0,1.0,-0.194509
194,5.0,1.0,8.0,1.0,5.0,1.0,8.0,1.0,-2.61738
195,5.0,1.0,8.0,1.0,7.0,1.0,10.0,1.0,-2.250437
196,5.0,1.0,9.0,1.0,3.0,1.0,5.0,1.0,0.911852
197,5.0,1.0,9.0,1.0,4.0,1.0,10.0,1.0,-0.826721
198,5.0,1.0,9.0,1.0,5.0,1.0,9.0,1.0,-0.217671
199,5.0,1.0,10.0,1.0,4.0,1.0,5.0,1.0,-1.639453
200,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,-5.651187
201,5.0,1.0,3.0,2.0,3.0,1.0,6.0,2.0,1.941916
202,5.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0,-0.000947
203,5.0,1.0,3.0,2.0,4.0,1.0,9.0,2.0,-1.734336
204,5.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,-1.941286
205,5.0,1.0,3.0,2.0,5.0,1.0,10.0,2.0,-0.445327
206,5.0,1.0,3.0,2.0,7.0,1.0,8.0,2.0,0.006751
207,5.0,1.0,3.0,2.0,9.0,1.0,6.0,2.0,0.451285
208,5.0,1.0,3.0,2.0,10.0,1.0,4.0,2.0,1.749371
209,5.0,1.0,3.0,2.0,10.0,1.0,9.0,2.0,-0.002473
210,5.0,1.0,4.0,2.0,4.0,1.0,6.0,2.0,0.241316
211,5.0,1.0,4.0,2.0,5.0,1.0,4.0,2.0,-0.240861
212,5.0,1.0,4.0,2.0,5.0,1.0,9.0,2.0,0.800474
213,5.0,1.0,4.0,2.0,10.0,1.0,6.0,2.0,-0.80762
214,5.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,-2.183231
215,5.0,1.0,5.0,2.0,3.0,1.0,9.0,2.0,0.357497
216,5.0,1.0,5.0,2.0,4.0,1.0,3.0,2.0,2.183231
217,5.0,1.0,5.0,2.0,4.0,1.0,10.0,2.0,-0.357497
218,5.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,-3.941769
219,5.0,1.0,5.0,2.0,6.0,1.0,6.0,2.0,3.941769
220,5.0,1.0,5.0,2.0,7.0,1.0,7.0,2.0,1.553617
221,5.0,1.0,5.0,2.0,8.0,1.0,8.0,2.0,-1.553617
222,5.0,1.0,5.0,2.0,9.0,1.0,4.0,2.0,0.355424
223,5.0,1.0,5.0,2.0,9.0,1.0,9.0,2.0,-2.879957
224,5.0,1.0,5.0,2.0,10.0,1.0,3.0,2.0,-0.355424
225,5.0,1.0,5.0,2.0,10.0,1.0,10.0,2.0,2.879957
226,5.0,1.0,6.0,2.0,5.0,1.0,6.0,2.0,-1e-06
227,5.0,1.0,7.0,2.0,4.0,1.0,8.0,2.0,-0.102702
228,5.0,1.0,7.0,2.0,5.0,1.0,7.0,2.0,-1.287347
229,5.0,1.0,7.0,2.0,7.0,1.0,4.0,2.0,0.0996
230,5.0,1.0,7.0,2.0,7.0,1.0,9.0,2.0,-1.099741
231,5.0,1.0,7.0,2.0,8.0,1.0,6.0,2.0,1.290222
232,5.0,1.0,7.0,2.0,10.0,1.0,8.0,2.0,1.105403
233,5.0,1.0,8.0,2.0,5.0,1.0,8.0,2.0,-0.259363
234,5.0,1.0,8.0,2.0,7.0,1.0,6.0,2.0,0.263392
235,5.0,1.0,9.0,2.0,4.0,1.0,6.0,2.0,-0.802055
236,5.0,1.0,9.0,2.0,5.0,1.0,4.0,2.0,0.800474
237,5.0,1.0,9.0,2.0,5.0,1.0,9.0,2.0,-2.749444
238,5.0,1.0,9.0,2.0,10.0,1.0,6.0,2.0,2.773766
239,5.0,1.0,10.0,2.0,3.0,1.0,6.0,2.0,0.44546
240,5.0,1.0,10.0,2.0,4.0,1.0,4.0,2.0,-0.000235
241,5.0,1.0,10.0,2.0,4.0,1.0,9.0,2.0,-0.400754
242,5.0,1.0,10.0,2.0,5.0,1.0,3.0,2.0,-0.445327
243,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,-0.104837
244,5.0,1.0,10.0,2.0,7.0,1.0,8.0,2.0,0.001518
245,5.0,1.0,10.0,2.0,9.0,1.0,6.0,2.0,0.106192
246,5.0,1.0,10.0,2.0,10.0,1.0,4.0,2.0,0.404213
247,5.0,1.0,10.0,2.0,10.0,1.0,9.0,2.0,-0.000558
248,6.0,1.0,7.0,1.0,3.0,1.0,8.0,1.0,-0.194509
249,6.0,1.0,7.0,1.0,6.0,1.0,7.0,1.0,-2.61738
250,6.0,1.0,7.0,1.0,8.0,1.0,9.0,1.0,-2.250437
251,6.0,1.0,8.0,1.0,6.0,1.0,8.0,1.0,-0.537903
252,6.0,1.0,9.0,1.0,3.0,1.0,6.0,1.0,-1.639453
253,6.0,1.0,9.0,1.0,6.0,1.0,9.0,1.0,-5.651187
254,6.0,1.0,10.0,1.0,3.0,1.0,9.0,1.0,-0.826721
255,6.0,1.0,10.0,1.0,4.0,1.0,6.0,1.0,0.911852
256,6.0,1.0,10.0,1.0,6.0,1.0,10.0,1.0,-0.217671
257,6.0,1.0,3.0,2.0,3.0,1.0,5.0,2.0,0.241316
258,6.0,1.0,3.0,2.0,6.0,1.0,3.0,2.0,-0.240861
259,6.0,1.0,3.0,2.0,6.0,1.0,10.0,2.0,0.800474
260,6.0,1.0,3.0,2.0,9.0,1.0,5.0,2.0,-0.80762
261,6.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0,-0.000947
262,6.0,1.0,4.0,2.0,3.0,1.0,10.0,2.0,-1.734336
263,6.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,1.941916
264,6.0,1.0,4.0,2.0,6.0,1.0,4.0,2.0,-1.941286
265,6.0,1.0,4.0,2.0,6.0,1.0,9.0,2.0,-0.445327
266,6.0,1.0,4.0,2.0,8.0,1.0,7.0,2.0,0.006751
267,6.0,1.0,4.0,2.0,9.0,1.0,3.0,2.0,1.749371
268,6.0,1.0,4.0,2.0,9.0,1.0,10.0,2.0,-0.002473
269,6.0,1.0,4.0,2.0,10.0,1.0,5.0,2.0,0.451285
270,6.0,1.0,5.0,2.0,6.0,1.0,5.0,2.0,-1e-06
271,6.0,1.0,6.0,2.0,3.0,1.0,4.0,2.0,2.183231
272,6.0,1.0,6.0,2.0,3.0,1.0,9.0,2.0,-0.357497
273,6.0,1.0,6.0,2.0,4.0,1.0,3.0,2.0,-2.183231
274,6.0,1.0,6.0,2.0,4.0,1.0,10.0,2.0,0.357497
275,6.0,1.0,6.0,2.0,5.0,1.0,5.0,2.0,3.941769
276,6.0,1.0,6.0,2.0,6.0,1.0,6.0,2.0,-3.941769
277,6.0,1.0,6.0,2.0,7.0,1.0,7.0,2.0,-1.553617
278,6.0,1.0,6.0,2.0,8.0,1.0,8.0,2.0,1.553617
279,6.0,1.0,6.0,2.0,9.0,1.0,4.0,2.0,-0.355424
