V0 (1) = 800.000
#  i    sp levels      j     sp levels     k     sp levels     l     sp levels    isospin   V_pair
   1    -26.623512     7     -4.228309     8     -4.228309     4    -11.317252     1     -2.938664
   1    -26.623512     7     -4.228309     8     -4.228309     5    -11.302825     1     -0.549718
   1    -26.623512     7     -4.228309     8     -4.228309     6    -11.302825     1     -2.288846
   1    -26.623512     7     -4.228309     8     -4.228309     7     -4.228309     1      2.791819
   1    -26.623512     8     -4.228309     1    -26.623512     2    -26.623512     1      3.628898
   1    -26.623512     8     -4.228309     1    -26.623512     3    -11.317252     1     -0.000032
   1    -26.623512     8     -4.228309     1    -26.623512     4    -11.317252     1      2.369753
   1    -26.623512     8     -4.228309     1    -26.623512     5    -11.302825     1      1.371424
   1    -26.623512     8     -4.228309     1    -26.623512     6    -11.302825     1      2.549671
   1    -26.623512     8     -4.228309     1    -26.623512     7     -4.228309     1     -1.604749
   1    -26.623512     8     -4.228309     1    -26.623512     8     -4.228309     1      1.513095
